kernel_size1, kernel_size2, cnn_internal, cnn_out, hidden_size, num_layers, dropout, learning_rate, weight_decay, method      , accuracy          , precision         , recall            , f1                , c11               , c12                  , c21                  , c22                , val_loss                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , train_loss                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , fold0_val_loss                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , fold0_train_loss                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , fold0_accuracy    , fold0_precision   , fold0_recall      , fold0_f1          , fold0_c11         , fold0_c12            , fold0_c21           , fold0_c22          , fold1_val_loss                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , fold1_train_loss                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , fold1_accuracy    , fold1_precision   , fold1_recall      , fold1_f1          , fold1_c11         , fold1_c12            , fold1_c21           , fold1_c22          , fold2_val_loss                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , fold2_train_loss                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , fold2_accuracy    , fold2_precision   , fold2_recall      , fold2_f1          , fold2_c11         , fold2_c12           , fold2_c21           , fold2_c22          , fold3_val_loss                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , fold3_train_loss                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , fold3_accuracy    , fold3_precision   , fold3_recall      , fold3_f1          , fold3_c11         , fold3_c12            , fold3_c21           , fold3_c22          , fold4_val_loss                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , fold4_train_loss                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , fold4_accuracy    , fold4_precision   , fold4_recall      , fold4_f1          , fold4_c11         , fold4_c12            , fold4_c21            , fold4_c22          , avg_f1            , avg_precision     , avg_recall        , avg_accuracy      , avg_c11           , avg_c12              , avg_c21             , avg_c22
          13,            5,           32,     128,         128,          2,     0.5,         0.001,       0.0001, five-fold CV, 0.9927536231884058, 0.9912663755458515, 0.9869565217391304, 0.9891067538126361, 0.663768115942029 , 0.002898550724637681 , 0.004347826086956522 , 0.3289855072463768 , "[0.11868901044512406, 0.06645915962349719, 0.08924336232116613, 0.04399864849162837, 0.055035580979445234, 0.12411031219511269, 0.05602835956065414, 0.04051091316535185, 0.03373889037025853, 0.04470866771589499, 0.07602964769392155, 0.06527097814399987, 0.0576439307933936, 0.04544029530669109, 0.06026507435793368, 0.05466190437735536, 0.05329613499261308, 0.05472733376761122]"                                                                                                                                                                                      , "[0.29306478936249686, 0.10884081541199091, 0.08771166946730534, 0.07662072105219857, 0.0667563765233162, 0.06611076329768127, 0.058094662769259516, 0.05618465075335016, 0.05273179337583363, 0.05007536894606203, 0.047533771676171455, 0.04285045373245865, 0.04297450321993031, 0.029587918781257223, 0.027121890418656175, 0.025762852355623374, 0.025346228379643627, 0.02247918420830262]"                                                                                                                                                                             , "[0.2626331965797223, 0.10713480461914188, 0.07412381218716455, 0.08139586095841458, 0.08683069665671493, 0.06478710866194422, 0.10793500573326571, 0.06453021959915088, 0.14450674235540178, 0.08884926023669183, 0.07174521813375087, 0.06603943110736182, 0.06880165420947239, 0.07014819721949514, 0.07183049400508679, 0.08995871026351009, 0.07830821419021305]"                                                                                                                                                                                                                                                           , "[0.4775421563413386, 0.14580703977614912, 0.11154450039688718, 0.09397374494208059, 0.07217639982723324, 0.06926128479838219, 0.0628994294954617, 0.06400510194515319, 0.05731727278199335, 0.05175429600311825, 0.051530639718054626, 0.047665153120234255, 0.035055122353840396, 0.03310884964929229, 0.0329374697891437, 0.030902771893938495, 0.028100478633237606]"                                                                                                                                                                                                                                                      , 0.991304347826087 , 0.995575221238938 , 0.9782608695652174, 0.9868421052631579, 0.6652173913043479, 0.0014492753623188406, 0.007246376811594203, 0.32608695652173914, "[0.2511152294345009, 0.16506473939770308, 0.20433960639788076, 0.11346564002973863, 0.20821460883524148, 0.19653224388737447, 0.10335519145099589, 0.2526944665874814, 0.12953359910469048, 0.12941981152592538, 0.1740379238181049, 0.1664495265584451, 0.15865535923493995, 0.15659539361047045, 0.16616133622749027, 0.17194587153155738]"                                                                                                                                              , "[0.29776055255053124, 0.11601517041593692, 0.0902088859775655, 0.07317118579234566, 0.06483926592830501, 0.057199343856394226, 0.05225654603145813, 0.0508189045785433, 0.04971575972314512, 0.04872868623878228, 0.04479897398213277, 0.025533604311117654, 0.023905770908808528, 0.02296047021670682, 0.024225278387300358, 0.020580332083610348]"                                                                                                                                        , 0.9927536231884058, 0.9955947136563876, 0.9826086956521739, 0.9890590809628009, 0.6652173913043479, 0.0014492753623188406, 0.005797101449275362, 0.32753623188405795, "[0.21896729433240417, 0.2137988816904955, 0.1312211189741412, 0.22069897178190354, 0.18632632446511146, 0.16633198139383099, 0.15882679958117363, 0.10215095123119401, 0.1191472115744359, 0.11473004316511111, 0.1089431170104758, 0.15618555942581644, 0.12075447204495923, 0.12721334941027004, 0.13454842259465621, 0.13296347247281423, 0.13216411359443997]"                                                                                                                                   , "[0.33528872407010857, 0.10885138235990828, 0.08630935193037945, 0.07163129699754216, 0.06753599858003374, 0.0603407564080714, 0.049572104652102815, 0.034374525990642724, 0.03346058919966086, 0.03259662558325784, 0.03138279862550438, 0.02983987897158314, 0.030265151171605748, 0.02838178564170927, 0.028636553784197435, 0.029907677938401895, 0.02828966185796545]"                                                                                                                                   , 0.9797101449275363, 1.0               , 0.9391304347826087, 0.968609865470852 , 0.6666666666666666, 0.0                 , 0.020289855072463767, 0.3130434782608696 , "[0.14396326781178898, 0.08765042257399704, 0.11230006805047967, 0.0722342695419987, 0.07809247467248963, 0.053228309066094555, 0.053939001713819705, 0.04470982862851368, 0.04253604455973404, 0.03797127653319293, 0.030374506748138137, 0.031874644504009314, 0.032977858360353794, 0.03912884176063996, 0.03342245438789877, 0.021486778084997635, 0.02112817552757079, 0.020809974067304164, 0.019599831092562407, 0.020566394494007677, 0.020676655961067762, 0.021030489139845416, 0.023897636845784012, 0.02229009135678494, 0.02207323626013628, 0.022005632724195052, 0.02167639170959144, 0.021666381232744943]", "[0.43475629286350387, 0.1367696713599511, 0.10265256232263423, 0.08291647738415601, 0.07602897241610519, 0.06952081620195379, 0.06297054315195726, 0.06568182102599071, 0.05965709285603799, 0.05865936733693831, 0.05295792017267032, 0.0538671354388498, 0.05259053971875753, 0.04788267400612025, 0.04625950673255973, 0.03285312960743843, 0.0291084670507189, 0.029721261450073432, 0.02922836574740167, 0.028691589399003486, 0.029683683062988787, 0.029379632478211487, 0.025866829711144658, 0.025810279498919522, 0.024298929727688358, 0.025356118746075434, 0.024058700364907724, 0.02513893757788154]"     , 0.9927536231884058, 0.9955947136563876, 0.9826086956521739, 0.9890590809628009, 0.6652173913043479, 0.0014492753623188406, 0.005797101449275362, 0.32753623188405795, "[0.11868901044512406, 0.06645915962349719, 0.08924336232116613, 0.04399864849162837, 0.055035580979445234, 0.12411031219511269, 0.05602835956065414, 0.04051091316535185, 0.03373889037025853, 0.04470866771589499, 0.07602964769392155, 0.06527097814399987, 0.0576439307933936, 0.04544029530669109, 0.06026507435793368, 0.05466190437735536, 0.05329613499261308, 0.05472733376761122]"                                                                                                                                                                                      , "[0.29306478936249686, 0.10884081541199091, 0.08771166946730534, 0.07662072105219857, 0.0667563765233162, 0.06611076329768127, 0.058094662769259516, 0.05618465075335016, 0.05273179337583363, 0.05007536894606203, 0.047533771676171455, 0.04285045373245865, 0.04297450321993031, 0.029587918781257223, 0.027121890418656175, 0.025762852355623374, 0.025346228379643627, 0.02247918420830262]"                                                                                                                                                                             , 0.9927536231884058, 0.9912663755458515, 0.9869565217391304, 0.9891067538126361, 0.663768115942029 , 0.002898550724637681 , 0.004347826086956522 , 0.3289855072463768 , 0.9845353772944495, 0.9956062048195131, 0.9739130434782609, 0.9898550724637681, 0.6652173913043479, 0.0014492753623188406, 0.008695652173913044, 0.32463768115942027
           5,            9,           64,      64,          64,          2,     0.5,         0.001,       0.0001, five-fold CV, 0.9898550724637681, 0.9868995633187773, 0.9826086956521739, 0.9847494553376906, 0.6623188405797101, 0.004347826086956522 , 0.005797101449275362 , 0.32753623188405795, "[0.2642224076657723, 0.23227344921384102, 0.1629806136002, 0.1379526263813321, 0.2951720803886509, 0.18178562493994832, 0.2014816690636321, 0.15554387151496485, 0.15012275335940126, 0.16977805892178693, 0.143276113177984, 0.10296765624139553, 0.12125401440500401, 0.13338866171827063, 0.1469637188785829, 0.1492754251805122, 0.13086727388406125, 0.12638300390561852, 0.12307055143658847, 0.14536958366732458, 0.13812115228808045]"                                                                                                                                   , "[0.28453897625532637, 0.10992946542414996, 0.08827075211880392, 0.07838466972373824, 0.07060938103696619, 0.06762031665953384, 0.05840611617474535, 0.060259687227076746, 0.04552985078331212, 0.03724879615650647, 0.03844101890057285, 0.0390323840945616, 0.036347432124976445, 0.03460543136880963, 0.03677197672617407, 0.03669997466496218, 0.03330347858828693, 0.035326130221428206, 0.03239190737813739, 0.03267785590593887, 0.03243725754165146]"                                                                                                                 , "[0.1817112859720603, 0.21103141862803546, 0.05262184809021747, 0.049188077913967364, 0.04132037748618481, 0.07570206855113308, 0.04518668171098957, 0.03040321390084827, 0.02413533478288744, 0.07365609271726452, 0.03709616547059387, 0.028597486412110858, 0.03264940284227636, 0.028885336075267658, 0.03169435895986867, 0.0318189825228705, 0.03500071540306985, 0.032600871623845964]"                                                                                                                                                                                                                                   , "[0.30363659569105184, 0.12290555563154876, 0.10010170493708422, 0.08997238904550231, 0.07584511304670932, 0.07669970882642174, 0.06199502793749975, 0.06057647811844378, 0.05825163004891166, 0.05332817095414181, 0.051462395129922366, 0.04820068219171509, 0.046666253883813624, 0.03494781389417767, 0.034438708511611606, 0.031043450542902543, 0.03040776686425249, 0.030261797132736416]"                                                                                                                                                                                                                              , 0.9942028985507246, 0.9956140350877193, 0.9869565217391304, 0.9912663755458515, 0.6652173913043479, 0.0014492753623188406, 0.004347826086956522, 0.3289855072463768 , "[0.07682484459991638, 0.04516808566255256, 0.035147032691524006, 0.04045704301769057, 0.06357969587537436, 0.0271981501345857, 0.028331334105668925, 0.020969339048651118, 0.020695770880243238, 0.06915573157349196, 0.027354322696247928, 0.010161954768521424, 0.046438466781416, 0.02665663870702235, 0.014627998419783603, 0.020292534305973768, 0.01630478918638964, 0.019712156968382306, 0.018758826245828412, 0.01747356933983377, 0.017443865847897727]"                         , "[0.43291805584081694, 0.14646007038046313, 0.10660194545198465, 0.09809223687740373, 0.07929247444362293, 0.07303774360977848, 0.06871842398858892, 0.05670851326632194, 0.05933731279229074, 0.05434574716778834, 0.0487186777697245, 0.052753870128550547, 0.04678337529649549, 0.04894417722866101, 0.04401476356265208, 0.043741615696202836, 0.03303817723075266, 0.029230986931619747, 0.0284483148960757, 0.02708197613781905, 0.023227217006263488]"                                , 0.9942028985507246, 1.0               , 0.9826086956521739, 0.9912280701754386, 0.6666666666666666, 0.0                  , 0.005797101449275362, 0.32753623188405795, "[0.16524758881244522, 0.1743412559810214, 0.11474265415484133, 0.10183436019967, 0.17380984426768592, 0.14583723783382596, 0.11114556403406776, 0.09196284522141258, 0.1151070612682722, 0.10094207897968889, 0.13621320935990064, 0.152369208927923, 0.12647894132159984, 0.1289374992271545, 0.1645171440714666, 0.14413041510833396, 0.13894423801367595]"                                                                                                                                        , "[0.28719040652733957, 0.10342239615420112, 0.08661782839580585, 0.06672772972466957, 0.06414380212807277, 0.05740630429873387, 0.04904276307378926, 0.04920620147487697, 0.039643711767559195, 0.04022359661106939, 0.03654737761017283, 0.0367935032544617, 0.022519952507632536, 0.021398399071825367, 0.019607727816731455, 0.018313048719344232, 0.018563741306551446]"                                                                                                                                  , 0.9927536231884058, 0.987012987012987 , 0.991304347826087 , 0.9891540130151844, 0.6623188405797101, 0.004347826086956522, 0.002898550724637681, 0.33043478260869563, "[0.10484411030148084, 0.22591593195326054, 0.05121553299399332, 0.058810678333079874, 0.05343144415364338, 0.07722448392320448, 0.03166400602211256, 0.030714459244149905, 0.04252474958215876, 0.02191467293932174, 0.025185118624134563, 0.027461497158256885, 0.02015453909683483, 0.03255824638397779, 0.0764518500953459, 0.05574772405536631, 0.01756491124288937, 0.08034837256687191, 0.023490691241768686, 0.035208194295148876, 0.022025389168471195, 0.019750236107099157, 0.02249443294959537, 0.020399125378716212, 0.021399220395930268, 0.019416729274850626]"                                             , "[0.3347170131241192, 0.12601834588981306, 0.10097710480745024, 0.08457753117660391, 0.07235495179242878, 0.06931646456130118, 0.06632557159211597, 0.05903040248755899, 0.05907146235547675, 0.05751340559608683, 0.054756466032574135, 0.05323559101883515, 0.047039648310362135, 0.04524112191723505, 0.047319055616562286, 0.0462812207285759, 0.0448510507526168, 0.040067512974785224, 0.04264483251766873, 0.043444971892361205, 0.03740162222775804, 0.02810979679533806, 0.027453675776900797, 0.02739862082025387, 0.02761438501611816, 0.02609469392671982]"                                                  , 0.9942028985507246, 0.991304347826087 , 0.991304347826087 , 0.991304347826087 , 0.663768115942029 , 0.002898550724637681 , 0.002898550724637681, 0.33043478260869563, "[0.2642224076657723, 0.23227344921384102, 0.1629806136002, 0.1379526263813321, 0.2951720803886509, 0.18178562493994832, 0.2014816690636321, 0.15554387151496485, 0.15012275335940126, 0.16977805892178693, 0.143276113177984, 0.10296765624139553, 0.12125401440500401, 0.13338866171827063, 0.1469637188785829, 0.1492754251805122, 0.13086727388406125, 0.12638300390561852, 0.12307055143658847, 0.14536958366732458, 0.13812115228808045]"                                                                                                                                   , "[0.28453897625532637, 0.10992946542414996, 0.08827075211880392, 0.07838466972373824, 0.07060938103696619, 0.06762031665953384, 0.05840611617474535, 0.060259687227076746, 0.04552985078331212, 0.03724879615650647, 0.03844101890057285, 0.0390323840945616, 0.036347432124976445, 0.03460543136880963, 0.03677197672617407, 0.03669997466496218, 0.03330347858828693, 0.035326130221428206, 0.03239190737813739, 0.03267785590593887, 0.03243725754165146]"                                                                                                                 , 0.9898550724637681, 0.9868995633187773, 0.9826086956521739, 0.9847494553376906, 0.6623188405797101, 0.004347826086956522 , 0.005797101449275362 , 0.32753623188405795, 0.9895404523800504, 0.992166186649114 , 0.9869565217391305, 0.9930434782608696, 0.6640579710144927, 0.0026086956521739132, 0.004347826086956522, 0.3289855072463768
          11,            7,          128,     256,         128,          3,     0.5,         0.001,       0.0001, five-fold CV, 0.9942028985507246, 0.9956140350877193, 0.9869565217391304, 0.9912663755458515, 0.6652173913043479, 0.0014492753623188406, 0.004347826086956522 , 0.3289855072463768 , "[0.0756149801473396, 0.10876596756040668, 0.04693235442167721, 0.030352315357259404, 0.020150243220343374, 0.054613288616588436, 0.022679320329095785, 0.02071321050700648, 0.022495097854773168, 0.019034083445895262, 0.017053206304412108, 0.027622503030728787, 0.026808183013763014, 0.031660856060159115, 0.025498488864589792, 0.023800716838965084, 0.023629871397786655, 0.023842158080533877, 0.023394128000803996, 0.023694428241306482]"                                                                                                                             , "[0.29094477972217936, 0.1006487782427652, 0.07923313581015559, 0.06990181017518855, 0.056749611913274794, 0.06383870707634885, 0.05447790833290798, 0.04740828144043151, 0.048425925680356544, 0.027876539054504018, 0.02616252927524137, 0.02143693727992669, 0.020885496427844805, 0.020086764844671433, 0.02086901866283896, 0.018481447822930357, 0.01734403069607843, 0.017102554179186165, 0.016557700476799875, 0.016280076659876085]"                                                                                                                                , "[0.06005776700718949, 0.02168229276027817, 0.06767958590297404, 0.02445116150789918, 0.03120230031513179, 0.08667439997542459, 0.018835659043338053, 0.01650523058047745, 0.015919898857716292, 0.019859678811581735, 0.014687801259405648, 0.016763282257157605, 0.015606056713015558, 0.015017026145076856, 0.01661838877734203, 0.015684026969187796, 0.014711748618887773, 0.014725731829411158, 0.013401607322754363, 0.014182447056205442, 0.01422718137874677, 0.014498656527370585, 0.013815241295490593, 0.014022638420917643, 0.014056434835089395, 0.014051439588328298, 0.014018381610161995, 0.014027338856323741]", "[0.25435998145258054, 0.10301999616096605, 0.07913964910518476, 0.0645214891614351, 0.059446790684408994, 0.05333454723481018, 0.035127225895848824, 0.030479394976617568, 0.02877656073413068, 0.028470752501322607, 0.028738253383619992, 0.025734457739800792, 0.025327286021724592, 0.025793718709576894, 0.02532051017346691, 0.021538002866260574, 0.019077523499498438, 0.021180266563293883, 0.018817467194486726, 0.019412698674554314, 0.01942139071702274, 0.018500068011103633, 0.018424362027201966, 0.01926795098868177, 0.018058175875514854, 0.02010577856368687, 0.018199997365962572, 0.019546342692688325]", 0.9942028985507246, 0.9956140350877193, 0.9869565217391304, 0.9912663755458515, 0.6652173913043479, 0.0014492753623188406, 0.004347826086956522, 0.3289855072463768 , "[0.11156481597572565, 0.22967862680805132, 0.11969897511134593, 0.12681126647079602, 0.0977140423005599, 0.0980609553181029, 0.08599575576133645, 0.10391267542786992, 0.14447737527949264, 0.10562696510355753, 0.09558127190617736, 0.12201601105278734, 0.11473996946603084, 0.13296390387534837, 0.13444382177103528, 0.13982659329821429]"                                                                                                                                            , "[0.21270481178745335, 0.07755535846521716, 0.05798935449303443, 0.05379826971961608, 0.04315425166470576, 0.041765721960808536, 0.03831073597676119, 0.03901676224856936, 0.03309574546524106, 0.024715150885257525, 0.02666293960437303, 0.014612578944443635, 0.013384156840761295, 0.011660153422601644, 0.01112272266512168, 0.009654524219668977]"                                                                                                                                     , 0.9956521739130435, 0.9956331877729258, 0.991304347826087 , 0.9934640522875817, 0.6652173913043479, 0.0014492753623188406, 0.002898550724637681, 0.33043478260869563, "[0.07852210205955765, 0.058145180435624354, 0.042306430449780934, 0.0373455417881278, 0.07484368605872031, 0.1021038306782243, 0.04706141093927913, 0.1219055952447562, 0.03515608994161877, 0.04209650208343728, 0.03557825909191683, 0.03971330414956006, 0.034342148200010296, 0.030688878259799168, 0.05176085335234604, 0.03405017841373009, 0.06311071770006749, 0.05695044508693405, 0.043518665937508326, 0.04337458098710228, 0.0398976368578121, 0.04024183148001798, 0.04384084198999261]", "[0.23667719102185833, 0.09171843212434876, 0.07078688310857136, 0.06181142794785525, 0.05819868935381428, 0.05672430804847145, 0.050166138582426356, 0.04271118616038381, 0.03117602962658183, 0.022663162619545273, 0.021874132188139283, 0.020992605606687375, 0.022530556323521234, 0.01948802648169141, 0.020792242253623715, 0.02138735283104229, 0.01673693484530017, 0.01908243801777213, 0.014373716477333992, 0.01477987971917939, 0.016554676787037398, 0.01503570927434339, 0.013501525731415217]", 0.9927536231884058, 0.987012987012987 , 0.991304347826087 , 0.9891540130151844, 0.6623188405797101, 0.004347826086956522, 0.002898550724637681, 0.33043478260869563, "[0.21610591508066043, 0.14825186335171261, 0.13830385989067742, 0.13991327762442568, 0.10790010559886025, 0.377701895332743, 0.09925004332445753, 0.11900158389471471, 0.11690593161396325, 0.0995828077437368, 0.09120221962280667, 0.09110313704243311, 0.1266721336823815, 0.1820554435699029, 0.09527067373355982, 0.14484940433258323, 0.13545386345280208, 0.14537926243475596, 0.13624635068434798, 0.15522601246872605, 0.13481269751709754]"                                                                                                                                                                     , "[0.31796590898087934, 0.08875876137263779, 0.06833883684176774, 0.05643059358178442, 0.052519013096810487, 0.04940639537007404, 0.04789675862052958, 0.045507959692545945, 0.037769636003256314, 0.03769993935355543, 0.03418340693284144, 0.033990028273628445, 0.03200349941373229, 0.03382935322064153, 0.037411020810467516, 0.025827085417452173, 0.0162535799029827, 0.013827100586360374, 0.013734641587976321, 0.013201694945157789, 0.013150636409938287]"                                                                                                                                                     , 0.9869565217391304, 0.986784140969163 , 0.9739130434782609, 0.9803063457330415, 0.6623188405797101, 0.004347826086956522 , 0.008695652173913044, 0.32463768115942027, "[0.0756149801473396, 0.10876596756040668, 0.04693235442167721, 0.030352315357259404, 0.020150243220343374, 0.054613288616588436, 0.022679320329095785, 0.02071321050700648, 0.022495097854773168, 0.019034083445895262, 0.017053206304412108, 0.027622503030728787, 0.026808183013763014, 0.031660856060159115, 0.025498488864589792, 0.023800716838965084, 0.023629871397786655, 0.023842158080533877, 0.023394128000803996, 0.023694428241306482]"                                                                                                                             , "[0.29094477972217936, 0.1006487782427652, 0.07923313581015559, 0.06990181017518855, 0.056749611913274794, 0.06383870707634885, 0.05447790833290798, 0.04740828144043151, 0.048425925680356544, 0.027876539054504018, 0.02616252927524137, 0.02143693727992669, 0.020885496427844805, 0.020086764844671433, 0.02086901866283896, 0.018481447822930357, 0.01734403069607843, 0.017102554179186165, 0.016557700476799875, 0.016280076659876085]"                                                                                                                                , 0.9942028985507246, 0.9956140350877193, 0.9869565217391304, 0.9912663755458515, 0.6652173913043479, 0.0014492753623188406, 0.004347826086956522 , 0.3289855072463768 , 0.9890914324255021, 0.992131677186103 , 0.9860869565217392, 0.9927536231884059, 0.6640579710144927, 0.0026086956521739132, 0.004637681159420289, 0.328695652173913
          11,            7,           64,     128,         256,          1,     0.5,         0.001,       0.0001, five-fold CV, 0.9971014492753624, 0.9956521739130435, 0.9956521739130435, 0.9956521739130435, 0.6652173913043479, 0.0014492753623188406, 0.0014492753623188406, 0.3318840579710145 , "[0.1610818102191656, 0.06148331830254159, 0.05841720517193421, 0.042721497342706874, 0.055361582312541895, 0.047854825197599635, 0.03469748676378423, 0.043758694491444684, 0.09616307054873174, 0.031068054585305687, 0.02811377814102273, 0.028277428980427198, 0.03333216587988994, 0.026330966127063267, 0.026695675669217076, 0.030707832384042632, 0.02077953912465511, 0.030808579708742075, 0.03295394245203799, 0.03640230678362199, 0.03411820978754594, 0.029364967294289574, 0.031017425505127996, 0.028288574285584334, 0.028611185540704846, 0.027043808620827548]", "[0.4616425111338398, 0.11100315836052974, 0.08392259591748466, 0.06954861197243047, 0.06083186134262513, 0.05801620093274993, 0.053062976850924315, 0.046122517672206174, 0.04769425698817174, 0.04277513298783513, 0.04235643410646318, 0.03796279356729907, 0.036830110744344176, 0.03698428013769061, 0.03449694845561393, 0.03368137135820641, 0.03391629924810427, 0.030808870674838163, 0.029576896656228775, 0.030889041156928886, 0.028694260003272864, 0.021113351175651923, 0.01741420271740648, 0.016504421480261187, 0.015089413606000036, 0.013240452512730516]", "[0.30243093396226567, 0.12576253654118866, 0.14219159226512346, 0.11498045668793985, 0.20918196221389687, 0.10632087210139546, 0.18457781032581502, 0.16022650851160647, 0.13753868436451272, 0.12030492883936042, 0.17076480935084432, 0.1560817920117421, 0.16548059460071202, 0.13745683096949973, 0.16790075429609994]"                                                                                                                                                                                                                                                                                                     , "[0.30757585356906547, 0.11084778863273402, 0.07909260565908258, 0.06319644889979252, 0.05003675439557379, 0.04661937139797757, 0.04780897882598143, 0.04055795378548952, 0.04022375292242941, 0.03588640871925906, 0.022421209072370784, 0.019675944238554764, 0.01943667274767186, 0.018171719436108298, 0.016398569470526893]"                                                                                                                                                                                                                                                                                              , 0.9898550724637681, 0.9955555555555555, 0.9739130434782609, 0.9846153846153847, 0.6652173913043479, 0.0014492753623188406, 0.008695652173913044, 0.32463768115942027, "[0.10834813975275327, 0.04957891253826137, 0.03364943620115996, 0.018689636844031226, 0.027803401450793713, 0.03678434157373909, 0.02316804718859016, 0.034007176697904914, 0.020413115625836864, 0.019616949357441626, 0.017728552853208013, 0.022326189838424444, 0.019079436393953167, 0.023005716697811388, 0.01825024563563952, 0.021482605911539093, 0.02091093335893208, 0.02157671071491234, 0.022186978136932548, 0.021195790302254654]"                                          , "[0.3019580837863032, 0.11567430134317347, 0.08625656828831109, 0.06872979794743035, 0.061203802369977654, 0.0746903207383232, 0.05653972918471003, 0.05066628097905011, 0.03574909993078204, 0.031100869306292703, 0.03219671514785947, 0.028429568542234943, 0.029072356546317967, 0.029294005975077055, 0.027582124299825456, 0.02644615483438285, 0.026718674500826683, 0.02482145666415722, 0.02390663520595569, 0.02460022280035302]"                                                  , 0.9927536231884058, 0.9912663755458515, 0.9869565217391304, 0.9891067538126361, 0.663768115942029 , 0.002898550724637681 , 0.004347826086956522, 0.3289855072463768 , "[0.13705897616604582, 0.18307341298219773, 0.11764976655383809, 0.06575323768163052, 0.24942925014198783, 0.1684787166483987, 0.12254901509452164, 0.19029274204475746, 0.10360166450211694, 0.09642692692600227, 0.08988772498224325, 0.10473550668710885, 0.08981286400133588]"                                                                                                                                                                                                                    , "[0.2854559520415741, 0.11640033583611703, 0.08006701070055562, 0.07266278141220314, 0.06505525080980365, 0.05806258151240304, 0.05389797826635339, 0.048024629021663136, 0.03518921484814391, 0.03285213735245251, 0.030239158968374556, 0.030163582356133128, 0.028085752709461974]"                                                                                                                                                                                                                        , 0.991304347826087 , 0.9827586206896551, 0.991304347826087 , 0.987012987012987 , 0.6608695652173913, 0.005797101449275362, 0.002898550724637681, 0.33043478260869563, "[0.09925214406580497, 0.07093910799206544, 0.07214206863397685, 0.0995109477916207, 0.0541081126116646, 0.04622443284815512, 0.057883506679597, 0.05484369638799809, 0.05709938266320536, 0.06288657723836458, 0.04360174916263741, 0.04099061533149021, 0.04456760575144122, 0.0489164810172112, 0.04554933362650888, 0.04093393818803657, 0.047334688501462385, 0.047843458417516485, 0.04002814547847942, 0.047954309553554196, 0.04862548234777, 0.05866877613581705, 0.051139433368240506, 0.04891986060223038, 0.04530170651028479, 0.04735612576722559, 0.04041946121539625, 0.04252037829447102]"                 , "[0.31202322035096586, 0.10000171119233862, 0.07106520432468019, 0.06325769267679884, 0.0599972617042352, 0.050661043877641386, 0.05268709170094984, 0.042240512525160354, 0.044637725058333, 0.043975194769652594, 0.03022562442014245, 0.027173914026829345, 0.025022887938671613, 0.022605971548464845, 0.02354756330628573, 0.023736540732323574, 0.023484561464915475, 0.02104632507165374, 0.021313555152454155, 0.02053668354902153, 0.020753725727110196, 0.01893151520593356, 0.022035700022594317, 0.016621887060337986, 0.018231198822233733, 0.01743661726739351, 0.017533932453788065, 0.01798112555771743]", 0.9942028985507246, 0.9956140350877193, 0.9869565217391304, 0.9912663755458515, 0.6652173913043479, 0.0014492753623188406, 0.004347826086956522, 0.3289855072463768 , "[0.1610818102191656, 0.06148331830254159, 0.05841720517193421, 0.042721497342706874, 0.055361582312541895, 0.047854825197599635, 0.03469748676378423, 0.043758694491444684, 0.09616307054873174, 0.031068054585305687, 0.02811377814102273, 0.028277428980427198, 0.03333216587988994, 0.026330966127063267, 0.026695675669217076, 0.030707832384042632, 0.02077953912465511, 0.030808579708742075, 0.03295394245203799, 0.03640230678362199, 0.03411820978754594, 0.029364967294289574, 0.031017425505127996, 0.028288574285584334, 0.028611185540704846, 0.027043808620827548]", "[0.4616425111338398, 0.11100315836052974, 0.08392259591748466, 0.06954861197243047, 0.06083186134262513, 0.05801620093274993, 0.053062976850924315, 0.046122517672206174, 0.04769425698817174, 0.04277513298783513, 0.04235643410646318, 0.03796279356729907, 0.036830110744344176, 0.03698428013769061, 0.03449694845561393, 0.03368137135820641, 0.03391629924810427, 0.030808870674838163, 0.029576896656228775, 0.030889041156928886, 0.028694260003272864, 0.021113351175651923, 0.01741420271740648, 0.016504421480261187, 0.015089413606000036, 0.013240452512730516]", 0.9971014492753624, 0.9956521739130435, 0.9956521739130435, 0.9956521739130435, 0.6652173913043479, 0.0014492753623188406, 0.0014492753623188406, 0.3318840579710145 , 0.9895307349799806, 0.992169352158365 , 0.9869565217391305, 0.9930434782608696, 0.6640579710144927, 0.0026086956521739132, 0.004347826086956523, 0.3289855072463768
