kernel_size1,kernel_size2,cnn_internal,cnn_out,hidden_size,num_layers,dropout,learning_rate,weight_decay,accuracy,precision,recall,f1,c11,c12,c21,c22,method,config_num,val_loss,train_loss
7,7,64,128,128,3,0.5,0.001,0.0001,0.9753623188405796,0.9907834101382488,0.9347826086956522,0.9619686800894854,0.663768115942029,0.0028985507246376,0.0217391304347826,0.3115942028985507,grid-search,13,"[0.11619995832920839, 0.1283472226290868, 0.07481723511890055, 0.07244222755663288, 0.06756879759128563, 0.05990442742357771, 0.05582776828519761, 0.05795055170874081, 0.08800188906099767, 0.05708035494153125, 0.06392231828962955, 0.04573334168675595, 0.04604410475346809, 0.04363040084195419, 0.04417253525529164, 0.04737382460548244, 0.044456661918770686, 0.04360428576742729, 0.04296516595226981, 0.05037045447310307, 0.04784158207061969, 0.046109430905534494, 0.04970119188174767, 0.04512889061861176]","[0.35763666273621647, 0.09993036671164048, 0.08649789607682722, 0.0673797327512339, 0.05872081098430882, 0.05932485692296483, 0.05047732386739019, 0.05004247558003714, 0.0464132138247231, 0.04265924545291598, 0.0420573664336859, 0.031221390315917426, 0.0262962677272873, 0.023337627882076623, 0.022459902822662883, 0.023889272836401545, 0.02181510368358144, 0.020785514275063945, 0.020456247928857346, 0.020123292558800562, 0.020375287235980834, 0.018660507754200233, 0.01881127678956019, 0.017750222764250697]"
7,7,64,128,128,3,0.6,0.001,1e-05,0.981159420289855,0.9865470852017936,0.9565217391304348,0.9713024282560706,0.6623188405797101,0.0043478260869565,0.0144927536231884,0.3188405797101449,grid-search,17,"[0.09920547170660053, 0.09464673292584336, 0.07391015876036806, 0.06788999958781716, 0.05655293109325262, 0.059033033305194035, 0.06258018217601766, 0.058768656552554324, 0.05277315586826239, 0.052628826546984225, 0.052629910733323924, 0.05406891394000596, 0.07499913081902868, 0.059506107735125206, 0.047782853152826786, 0.04613531700474246, 0.046189572563609824, 0.05100233072134403, 0.048891825960592356, 0.048330401124332685, 0.050168359016075]","[0.3364435069318126, 0.1251406321121306, 0.0818844598394016, 0.07306771629986256, 0.062110627413762574, 0.06627848586322216, 0.054081921083802866, 0.04930995968578301, 0.0505662880053167, 0.048170841371852714, 0.04049565423941347, 0.04266351652868731, 0.04185913990730976, 0.04349281429681708, 0.02448904250420463, 0.023896194875688753, 0.022605849529530753, 0.021829360240836218, 0.021153142271439145, 0.01965092199831911, 0.01931518967327113]"
7,7,64,128,256,1,0.5,0.001,0.0001,0.9840579710144928,0.9866666666666668,0.9652173913043478,0.9758241758241758,0.6623188405797101,0.0043478260869565,0.0115942028985507,0.3217391304347826,grid-search,19,"[0.10952117900626782, 0.1134059850532466, 0.07076533623815824, 0.10877806616302294, 0.06319042010298477, 0.07731015694429143, 0.045525181270652235, 0.05767951706776586, 0.03715789468790321, 0.046396060410561636, 0.043561738449333906, 0.03325220219379004, 0.0594650602290177, 0.039811870692900785, 0.04631014478927215, 0.061675016317540444, 0.03761396647799605]","[0.34741032928822707, 0.10644641557040527, 0.0766756707368921, 0.07392346646022481, 0.06099424895345644, 0.05198805436904015, 0.04796483064972946, 0.04469764242611219, 0.04223077750363078, 0.040995003608689955, 0.03788889396695307, 0.03754826500421347, 0.03166955064659162, 0.03492860212018537, 0.03349802554533342, 0.03225451983110504, 0.01998160544505816]"
7,7,64,128,128,3,0.6,0.001,0.001,0.9855072463768116,1.0,0.9565217391304348,0.9777777777777776,0.6666666666666666,0.0,0.0144927536231884,0.3188405797101449,grid-search,15,"[0.1463357196577514, 0.09791538307968622, 0.2180489354008713, 0.06192403284605975, 0.07279403685466744, 0.05250473722863274, 0.0653394880415036, 0.07366661285647215, 0.05552885368785773, 0.047418693689486154, 0.06491850896436983, 0.057662751173409514, 0.0654798194509334, 0.06031937792580814, 0.040041636912904396, 0.03765663109385432, 0.037322227725197964, 0.03891539439642563, 0.03691590190208398, 0.03478363858691106, 0.03587411331215826, 0.03676367398405161, 0.035160101453164734, 0.03620403234023028, 0.03616033991924129]","[0.33120234583896635, 0.12362963444933198, 0.10271942000211934, 0.08826674124391407, 0.08410331986593328, 0.07665316363866288, 0.07605620115703603, 0.07580619659711374, 0.06945882969720467, 0.06511749960631469, 0.06873095913981256, 0.0670619661393989, 0.06355583391919745, 0.06323815881229453, 0.04565892009639739, 0.0427956932261096, 0.04110554017040015, 0.04227685529047832, 0.041122147425324475, 0.0391160202517839, 0.04120347651252431, 0.03904455505069468, 0.04068946962855223, 0.036337701746608796, 0.03549800107066403]"
7,7,64,128,256,1,0.5,0.001,0.001,0.9869565217391304,1.0,0.9608695652173912,0.9800443458980044,0.6666666666666666,0.0,0.0130434782608695,0.3202898550724637,grid-search,18,"[0.1224807884472494, 0.12586181219189596, 0.1145831138934367, 0.07517659484158055, 0.05555551080630185, 0.12218801699316081, 0.06025160703425988, 0.05799665329798769, 0.051643603797763206, 0.06348145171068609, 0.04730056671019739, 0.11014706982323566, 0.048898524953983724, 0.05200315877878799, 0.04822910024235264, 0.04346021913433782, 0.04082213614422541, 0.04140719818846824, 0.04081262345276534, 0.04395164803822692, 0.04152567851661633, 0.04153227294460894, 0.0422897734798682, 0.04393034454775401]","[0.45405401805979445, 0.13039483190253745, 0.09742353951993496, 0.0860969899869432, 0.08077067350409618, 0.06977683296473085, 0.06966852148616454, 0.06654107576938068, 0.0635934636252626, 0.05658029115549748, 0.05617811115945714, 0.05167030170253527, 0.06014540350722535, 0.051210863032266435, 0.053511600354364704, 0.03672547900714562, 0.035183441915969046, 0.03539551504524609, 0.03241603268083724, 0.03330013737535122, 0.030968254584877286, 0.03202598601829346, 0.03018223648302266, 0.027613320789800798]"
7,7,64,128,256,2,0.5,0.001,0.001,0.981159420289855,0.9954337899543378,0.9478260869565216,0.9710467706013364,0.6652173913043479,0.0014492753623188,0.017391304347826,0.3159420289855073,grid-search,24,"[0.10959999626263595, 0.1118423264258756, 0.07012956806470473, 0.06833123314516762, 0.06606249918098538, 0.04733016738333763, 0.05293137630565653, 0.06831698447842008, 0.06266480076084964, 0.053466619756550364, 0.048047871072179615]","[0.44289089116194336, 0.1384840122849901, 0.1101212682352573, 0.09148795584616509, 0.08137200798611095, 0.07303054270481593, 0.076098711507496, 0.06970129102180515, 0.06746230240241857, 0.06546877744882582, 0.04371537640614215]"
7,7,64,128,256,1,0.6,0.001,0.001,0.9869565217391304,0.9955156950672646,0.9652173913043478,0.9801324503311258,0.6652173913043479,0.0014492753623188,0.0115942028985507,0.3217391304347826,grid-search,21,"[0.14146821143535468, 0.1354084875828658, 0.09684603330261336, 0.07330847897519095, 0.07398162944576679, 0.05858769403615346, 0.13289354392625868, 0.06741334978813449, 0.054306571367375836, 0.09154287446887256, 0.06516004496892819, 0.04583024025823061, 0.04251921090643662, 0.0629584082038118, 0.038309511812165, 0.05915278312750161, 0.05228105858147431, 0.06297688910033172, 0.050106800644873425, 0.042082848416892096]","[0.3950292612625114, 0.12640989695232988, 0.1023908110127147, 0.09088712461686412, 0.08325546292173003, 0.07189662765238991, 0.07088902829319092, 0.06413159818092888, 0.06926997679157036, 0.0628556204095443, 0.052781545916475714, 0.06201206709183201, 0.058311318186162295, 0.05861949782411102, 0.05348012564029073, 0.055816688031068463, 0.048658831095197363, 0.05290325224000538, 0.05428665822871967, 0.03781135978543285]"
7,7,64,128,256,1,0.5,0.001,1e-05,0.981159420289855,0.9954337899543378,0.9478260869565216,0.9710467706013364,0.6652173913043479,0.0014492753623188,0.017391304347826,0.3159420289855073,grid-search,20,"[0.12935291584103537, 0.16104680775569227, 0.059013694137460194, 0.06867987321441969, 0.04810692056735906, 0.03750489316865778, 0.07263979174641487, 0.035439567728481516, 0.038592778383575096, 0.042910421232077986, 0.041734725795835495, 0.041889645906989105, 0.025611938581464645, 0.022919575298053527, 0.01969731246189883, 0.02200353715698629, 0.023973650479978785, 0.023962318188914183, 0.019224521568946492, 0.020661537147764017, 0.020131943802857093, 0.021265089130116765, 0.022482903969714058, 0.02069094014922694]","[0.3409328369383921, 0.11070628024447758, 0.07761702452836816, 0.05937064164946174, 0.05426223843335863, 0.050190347313314544, 0.04401221011199883, 0.03891671226210747, 0.03666035610460408, 0.03086094306533931, 0.03142364728074953, 0.02995317319331853, 0.019641976362914936, 0.015713419154292894, 0.014423785209170379, 0.013169528865019904, 0.012674342011989307, 0.013415977068186629, 0.010136801051831562, 0.010100054187274199, 0.010306571050926706, 0.012306493095449792, 0.010309474850232977, 0.007896990631721971]"
7,7,64,128,128,3,0.5,0.001,0.001,0.9840579710144928,1.0,0.9521739130434784,0.975501113585746,0.6666666666666666,0.0,0.0159420289855072,0.3173913043478261,grid-search,12,"[0.5217299541601768, 0.08375750205073601, 0.07463172965277082, 0.06992156276753984, 0.06200975805329971, 0.06087372003075404, 0.056346536616985805, 0.06521195677543382, 0.06037182360290526, 0.054310478699895054, 0.08489763254646021, 0.1253578764034244, 0.0535997196745414, 0.05560374580538617, 0.060993699461388856, 0.049302431220451415, 0.04815724151185117, 0.08905074447139692, 0.048178613027677133, 0.08654385090519029, 0.04961874741368378, 0.04572210202698047, 0.03906772627035538, 0.044638694652045764, 0.03794758941214054, 0.03833534968091557, 0.03749225189825759, 0.038096799534590296, 0.03781844160029999, 0.03470140846613317, 0.035691226357952334, 0.03794665746868421, 0.0348990609173854, 0.032889780607850604, 0.0356941449497707, 0.04191246146831709, 0.03613450643994535, 0.040754522113368295, 0.03588640257322158]","[0.6855810090017161, 0.20548163168055716, 0.10678786944711312, 0.08943683205928353, 0.07572161474117341, 0.07722520493706198, 0.06976895552916655, 0.06734233725403196, 0.06525148011458345, 0.06356063918227799, 0.06014988593175842, 0.05847262080657713, 0.05904385528877978, 0.057340569687336314, 0.06358605866374714, 0.053457286402734006, 0.05469454092886544, 0.052670362152447955, 0.05886604870930138, 0.05568222183654526, 0.05979864447841752, 0.03673965582665436, 0.036293253040639684, 0.03368169360481644, 0.034512725527747534, 0.032828932169650216, 0.0318664423443567, 0.033315026644949716, 0.03362094537384876, 0.030937680055534367, 0.031375172489022496, 0.03130011528877443, 0.031239009809532467, 0.032447821280297114, 0.02918022966504826, 0.030981926815576644, 0.03140310902553641, 0.03089923627895156, 0.03081650813519924]"
7,7,64,128,256,1,0.6,0.001,0.0001,0.9768115942028984,0.9953703703703703,0.9347826086956522,0.9641255605381166,0.6652173913043479,0.0014492753623188,0.0217391304347826,0.3115942028985507,grid-search,22,"[0.10740908156507291, 0.0810155957364119, 0.07535237187627129, 0.06481585140154959, 0.04647688861288584, 0.04477483141146457, 0.04836443334352225, 0.044025566060251244, 0.04512616130635321, 0.0760983181617354, 0.05413780960654362, 0.05478689230035226, 0.03939013933473362, 0.03438875370529086, 0.03496388547967236, 0.03168190493231986, 0.03873324677801858, 0.03389997429248746, 0.02977698902339818, 0.02755306623461925, 0.026698130155683685, 0.03332385637716074, 0.029527845896014836, 0.03573822549645765, 0.03859124670699925, 0.040229459580307145]","[0.31318453111146627, 0.1192281232697975, 0.0832699433334423, 0.07245177970808551, 0.06833048345613765, 0.05590472994309063, 0.055662912093746277, 0.0512636823188682, 0.04777542427837034, 0.044461182439016214, 0.0458418097400442, 0.04179991367398447, 0.029298482712444018, 0.027066136190928534, 0.024110518678849314, 0.02417929684806471, 0.026275215821634015, 0.024982196552747683, 0.024166321257517234, 0.02227329533953755, 0.021101774950238905, 0.02129900061553551, 0.02128372075147031, 0.020317234755865637, 0.017617587946819856, 0.020062645450073097]"
