mean,std,min,max,rms,zero_crossing,Sample Entropy,Spectral Entropy,Permutation Entropy,SVD Entropy,LZiv Complexity,label
-1.3645891703014175,21.989056632199848,-76.93625853,88.05064338833714,22.031357542779702,25,0.18097539473469199,0.3890068694732083,0.5019850882148384,0.21301639352513835,5.146484375,0
0.3765948514264559,18.07520570361233,-67.90732167,53.99105214470876,18.079128433362616,25,0.20660587805765313,0.4107925053137305,0.5081926000120708,0.23058710997129975,4.521484375,0
-1.4728542738324328,15.130592883685022,-48.54041687,66.12659713487439,15.202109745813779,33,0.18340537652481453,0.3993556150441594,0.5000452063369795,0.23155375832261152,5.078125,0
-0.6155085972916776,17.98773302660234,-70.02336993,86.17776589733167,17.99826075679704,30,0.19455654542747464,0.4079668712950422,0.5058067701614722,0.2302618192295792,5.3125,0
-0.10151566435433512,18.517175345819386,-46.31860925,78.01181901389798,18.5174536105246,31,0.22595445025657424,0.42126435499246634,0.5083717077139227,0.24878251598503093,5.048828125,0
-2.02500865310451,24.051540050709477,-75.22918486,118.0205962523588,24.1366368588507,28,0.18160807006862514,0.3822336712269717,0.49534805252282843,0.2229495379733349,5.15625,0
2.519532780669321,12.242239844685201,-26.04191347,54.55975214209429,12.498819218136779,32,0.2583426086649207,0.4242255021483913,0.4954545831535088,0.2463457438709865,5.29296875,0
-0.9584800849988347,14.37907892081536,-44.10302612,49.0,14.410988678240505,28,0.18563245104674142,0.3952250816911708,0.4976226626463124,0.22012688056832347,5.6640625,0
-2.116798307326044,16.172246585927176,-61.15971802,38.18381422,16.310192969733116,24,0.22864039633261696,0.3971866378729513,0.48974593636580016,0.23081915671194397,5.68359375,0
-0.9129277231049602,16.804513606077784,-51.71542701,53.02760697804307,16.82929334715118,33,0.24696876676100235,0.4150239356508848,0.5014395489467779,0.25113275943776087,5.05859375,0
-3.2422600497376592,18.664078478299565,-70.0,47.78154219174856,18.94360249990085,31,0.2608009473663126,0.4116543608814507,0.4986153646738299,0.2482133050001695,5.966796875,0
-0.06285965308741315,9.169003188937575,-26.30873751,28.138395514931297,9.169218658900752,27,0.2846367636756144,0.39117346271599945,0.5037207063893778,0.23845497376548874,5.0390625,0
0.6361826805017468,10.444245656956184,-21.3428605,33.10443022470887,10.463603382478643,24,0.26208559958786837,0.41752066770891616,0.49814244971343374,0.2424412161773746,5.205078125,0
-1.0537113302358392,13.889530256415183,-38.03986496,38.33977239773735,13.92944213927249,27,0.28977674030691103,0.42420911860685595,0.5065161005015903,0.245457892853823,5.5078125,0
-1.0059632146028488,15.139667769428103,-36.03118057,62.20777702585749,15.17305184060854,29,0.20247609833063718,0.38687324202435186,0.5096607118273725,0.22338269443386052,4.716796875,0
-0.5603188742385696,17.78894160733396,-68.52815312,58.90936927632218,17.797763925560012,24,0.22082981003827765,0.3949332463573312,0.49775332526262717,0.221944927714688,6.904296875,0
0.344624304036969,17.374278093891522,-39.06087436,88.1855408,17.37769562383954,26,0.21081622055286317,0.3986249776414058,0.49526523675120876,0.2322410375750077,4.560546875,0
0.6555236611290903,18.360693152607517,-63.97525372,70.05155561013095,18.372391360803,37,0.18221116243205124,0.41491201438464553,0.49696813162227493,0.2375132322842083,5.21484375,0
1.101215152960005,14.40091590587425,-32.11841424,53.11939197378409,14.442958621458786,27,0.2861201550581552,0.40445765919738974,0.4912430511573323,0.22971688646265917,5.64453125,0
-1.430145154874089,18.85086660881085,-73.0176528,48.40280279468845,18.905038668756795,24,0.2522003651083888,0.39284660724455495,0.5003333561026849,0.23291246668553034,5.0390625,0
0.04800279736167623,12.51263571357291,-54.33785427,36.012653833044226,12.512727790898946,29,0.273011145160381,0.40940626587144063,0.4954211723262886,0.2373597407188679,5.107421875,0
-1.1386226186479118,14.930403557592221,-79.72870048,35.64515260820313,14.973757439609441,25,0.1813381281022698,0.3708089036451261,0.49475682342157,0.2052386493567187,5.0,0
-3.2780223736184757,14.012399005539573,-67.00151503,30.109423356258176,14.390717722629047,26,0.21372216228110635,0.4027191559478346,0.5092992714400735,0.2371101108847148,6.0546875,0
1.562592829883132,14.297667987871266,-32.73036079,46.94539533451545,14.382802447485709,24,0.26310530547405453,0.3873509422094663,0.5146324209466178,0.22208918397817723,5.0390625,0
-2.8437002564140452,17.82205459003264,-82.87626568,53.23520265410664,18.047500130445567,30,0.2267066956892607,0.40718031824084744,0.5055362674779085,0.23474726168068383,4.638671875,0
1.8602646511597105,12.997646591544227,-22.31100037,73.47750071376394,13.13009525826205,28,0.2157537669168219,0.4201421164014129,0.5004159437011245,0.2479664437743542,5.361328125,0
-0.22981544815601618,15.998265974006687,-74.34124219,42.64844609,15.999916540884557,32,0.15650782527601292,0.42325394697844915,0.5081623405196226,0.235343120860022,5.01953125,0
-0.9674538968049143,15.336916689475734,-52.05658397,45.00814554734144,15.36739992914749,30,0.2387331253559042,0.41675288379481656,0.49378063185776727,0.2418964463131748,5.048828125,0
-2.3663713788597267,12.904240865131696,-29.05326011,45.04468301799706,13.119418653584514,20,0.27843238794957803,0.4073215691565724,0.5035331534479598,0.23170833377357036,5.078125,0
-1.16059108808619,18.41453264412681,-63.92633921,55.56653386499696,18.451070000825347,32,0.1924380402485517,0.39319438798093054,0.49838137124113047,0.22035844566908913,5.8984375,0
-1.1227033061174978,17.216332323859582,-55.07005542,47.95757820881586,17.252900086627157,29,0.22469703265068833,0.4234147759549645,0.5024835931553543,0.2349435210220243,5.146484375,0
0.4931333573505424,19.871195374012768,-59.08562899,66.4329424,19.877313352169054,27,0.25820047856580136,0.42884095038844056,0.5019353744693668,0.2416385547722221,4.970703125,0
-1.4371068060986256,17.356412179442213,-63.00696466,54.035477917963895,17.415806605346333,32,0.25053524821272094,0.408749301715197,0.506426563449015,0.24377450350517565,4.677734375,0
0.7326170245450523,19.48611989814099,-62.35492244,82.12686259703621,19.49988708658026,26,0.22123784080908288,0.3901570896743675,0.5040656086669619,0.23449650953348827,4.51171875,0
0.231401018024743,22.860416504331607,-97.00689619,73.93077237716629,22.86158763477856,25,0.1986564380226027,0.407330642359914,0.5183993049949289,0.24516264226618625,5.3125,0
-3.3031207801431957,15.477797601460566,-55.07114815,32.06834360207736,15.826333292332507,29,0.29888727264275533,0.4183894648311613,0.49774490956767553,0.2276269668912043,5.830078125,0
3.1410340752155546,29.68415240505345,-119.1100786,113.81271341210604,29.849874355985246,29,0.1549416036086688,0.39081817795601653,0.5068838146646312,0.2218039152491184,4.873046875,0
-1.6706987029443088,22.015592352950076,-60.00637725,79.50090319754712,22.07889355939952,24,0.21540023872966402,0.4016153070118583,0.4991483239125273,0.2348394555422047,6.875,0
-2.9087262719896922,18.469435028441186,-73.18801601,62.80724737955208,18.697077814331667,22,0.22431935533720992,0.38627056431159545,0.5037835943680522,0.22398765529890544,5.5078125,0
-0.8001064308619179,16.638290090582895,-47.17543161,71.21140952018683,16.657516844929066,30,0.3025759398318791,0.4058833163049099,0.5031517727490514,0.25018317609308177,4.423828125,0
2.245447670617587,18.856720875614336,-48.47673023,89.76386299269892,18.989943586601605,23,0.17797982081824568,0.3946629239592471,0.4917350312969014,0.203929477116006,5.01953125,0
-1.9762838063717894,16.134720498984922,-50.08754686,38.933020759450535,16.255303850241976,26,0.23605825132838,0.3942163347213315,0.4931362278991643,0.21824956372196372,5.21484375,0
-0.9116439788722746,21.64595576614484,-94.00232105,69.98671202001654,21.665144720820887,24,0.1765680415746723,0.3912689347536401,0.5140615291879523,0.21249644885438257,5.1953125,0
-0.17246043539629907,21.489904053857785,-87.91388968,74.19872528202346,21.490596056084403,28,0.21193990610020125,0.3961222764672326,0.5033007117525086,0.21757700642372702,5.654296875,0
-0.4737507272488224,22.805349105126623,-73.12741576,69.56061848314019,22.810269344272736,25,0.17882876720847354,0.40321050931219454,0.49386342425348045,0.2383160566030725,4.66796875,0
0.7879809912414008,14.010535496898555,-26.23740239,52.04609249,14.03267682776213,31,0.2816034724826032,0.39245641683265925,0.48916597593184297,0.2325496047261647,5.546875,0
1.845031984582359,24.369623220161156,-88.29282435,115.27033699875273,24.439367400093435,26,0.1640401121623849,0.4139471202241795,0.4921911113749933,0.2413128437282641,5.1171875,0
-2.3532519627159796,21.040106643150214,-69.23665702,58.15129634462848,21.171298551462552,32,0.2534628443277191,0.40345982671574443,0.4969836145700359,0.23581902344210834,5.17578125,0
